understand gin engine routing behavior	routergroup.go
understand middleware authentication behavior	auth.go
understand startup flow	gin.go
understand binding validation behavior	binding/default_validator.go
understand json binding behavior	binding/json.go
understand binding validation test coverage	binding/default_validator_test.go
understand gin response rendering behavior	render/render.go
understand gin error recovery middleware behavior	recovery.go
understand gin static file serving behavior	routergroup.go
understand gin request body parsing behavior	context.go
understand gin redirect response behavior	context.go
understand gin query parameter parsing behavior	binding/query.go
understand gin response header behavior	context.go
